YYYY,MM,DD,TMAX,TMIN,PRCP,SNOW,SNWD
1983,12,21,   23.8,-9999.0,-9999.0,-9999.0,-9999.0
1983,12,22,   24.1,   10.0,-9999.0,-9999.0,-9999.0
1983,12,23,   24.3,-9999.0,-9999.0,-9999.0,-9999.0
1983,12,24,   23.4,   11.8,-9999.0,-9999.0,-9999.0
1983,12,25,   24.4,   11.0,-9999.0,-9999.0,-9999.0
1983,12,26,   24.1,    9.9,-9999.0,-9999.0,-9999.0
1983,12,27,   24.0,   10.9,-9999.0,-9999.0,-9999.0
1983,12,28,   23.2,-9999.0,-9999.0,-9999.0,-9999.0
1983,12,29,   24.3,   13.7,-9999.0,-9999.0,-9999.0
1983,12,30,-9999.0,   16.6,-9999.0,-9999.0,-9999.0
1983,12,31,   24.2,   16.7,-9999.0,-9999.0,-9999.0
1984,01,01,   24.0,   15.0,-9999.0,-9999.0,-9999.0
1984,01,02,   25.4,   13.0,-9999.0,-9999.0,-9999.0
1984,01,03,   23.4,-9999.0,-9999.0,-9999.0,-9999.0
1984,01,04,   25.0,-9999.0,-9999.0,-9999.0,-9999.0
1984,01,05,-9999.0,   11.7,-9999.0,-9999.0,-9999.0
1984,01,06,   24.8,   11.0,-9999.0,-9999.0,-9999.0
1984,01,07,   23.8,   14.5,-9999.0,-9999.0,-9999.0
1984,01,08,   26.9,    9.0,-9999.0,-9999.0,-9999.0
1984,01,09,   25.0,   12.8,-9999.0,-9999.0,-9999.0
1984,01,10,   23.8,   12.0,-9999.0,-9999.0,-9999.0
1984,01,11,   24.7,-9999.0,-9999.0,-9999.0,-9999.0
1984,01,12,   24.6,-9999.0,-9999.0,-9999.0,-9999.0
1984,01,13,   23.6,   12.3,-9999.0,-9999.0,-9999.0
1984,01,14,   23.2,   11.9,-9999.0,-9999.0,-9999.0
1984,01,15,   26.4,-9999.0,-9999.0,-9999.0,-9999.0
1984,01,16,-9999.0,   10.5,-9999.0,-9999.0,-9999.0
1984,01,17,   24.0,   14.3,-9999.0,-9999.0,-9999.0
1984,01,18,   23.5,-9999.0,-9999.0,-9999.0,-9999.0
1984,01,19,   23.5,   13.8,-9999.0,-9999.0,-9999.0
1984,01,21,   23.7,   11.5,-9999.0,-9999.0,-9999.0
1984,01,22,   22.8,   10.4,-9999.0,-9999.0,-9999.0
1984,01,23,   22.3,-9999.0,-9999.0,-9999.0,-9999.0
1984,01,24,   22.9,   11.8,-9999.0,-9999.0,-9999.0
1984,01,25,   25.1,   10.7,-9999.0,-9999.0,-9999.0
1984,01,26,   23.6,   11.5,-9999.0,-9999.0,-9999.0
1984,01,27,   24.8,   11.8,-9999.0,-9999.0,-9999.0
